,TCGA_id,Gene,Cell,Correlation
1213,UVM,TRBJ1-5,Macrophage M2,0.5279225839651952
1214,UVM,TRBV20-1,T cell follicular helper,0.5274548198742729
1215,UVM,IGLV3-1,Macrophage M1,0.5264131561859792
1216,UVM,TRGV10,T cell CD8+,0.5242957659688858
1217,UVM,TRBV27,T cell follicular helper,0.5242370003882448
1218,UVM,IGHJ2,T cell CD8+,0.5216880045085659
1219,UVM,TRGV10,T cell follicular helper,0.5213111406013297
1220,UVM,TRAJ39,Macrophage M2,0.520853187511756
1221,UVM,IGKV1-33,Macrophage M1,0.520582121221621
1222,UVM,TRBV7-9,T cell CD8+,0.518894370986577
1223,UVM,TRAV29DV5,T cell regulatory (Tregs),0.5176710172000425
1224,UVM,TRAV3,Macrophage M1,0.5172051019668746
1225,UVM,TRBJ1-1,T cell follicular helper,0.516560115801477
1226,UVM,IGHJ4,Macrophage M1,0.5142751370969374
1227,UVM,IGHJ5,NK cell activated,0.5138246645532221
1228,UVM,TRAJ17,NK cell activated,0.5134667393132161
1229,UVM,IGHJ2,NK cell activated,0.5131168982410735
1230,UVM,TRAJ42,Mast cell resting,0.5125028542349228
1231,UVM,TRAJ9,T cell follicular helper,0.5111714760305534
1232,UVM,TRBJ2-7,T cell gamma delta,0.5110778037125846
1233,UVM,TRBV29-1,Mast cell resting,0.5086771886619016
1234,UVM,IGHJ5,Macrophage M1,0.5085753000306444
1235,UVM,TRAV13-2,T cell CD8+,0.5080171776980734
1236,UVM,IGKJ3,NK cell resting,-0.5071803416451708
1237,UVM,TRBV5-1,Macrophage M1,0.506972101080023
1238,UVM,TRBV5-1,Macrophage M2,0.5048173573951773
1239,UVM,TRAJ43,B cell plasma,0.5045431609245784
1240,UVM,TRAJ42,NK cell activated,0.5041086469518524
1241,UVM,TRAJ29,NK cell activated,0.5029568922251312
1242,UVM,TRBV27,Macrophage M1,0.5029013908371215
1243,UVM,TRBJ1-5,T cell CD8+,0.5026689535434509
1244,UVM,TRAJ48,T cell CD8+,0.5022431254788182
1245,UVM,TRAV13-2,T cell follicular helper,0.5020024915067932
1246,UVM,TRAJ4,Macrophage M1,0.5011587787521818
1247,UVM,TRAV12-1,Macrophage M1,0.5005683825895975
1248,UVM,TRBV20-1,Macrophage M2,0.500286985971459
